link;title;address;price;m2;num_rooms
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/familien-hit-perfekt-aufgeteilte-3-zimmer-wohnung-mit-zwei-baedern-und-balkon-richtung-innenhof-frisch-saniert-1980174251/;Familien-Hit: Perfekt aufgeteilte 3-Zimmer Wohnung mit zwei Bädern und Balkon Richtung Innenhof! Frisch saniert!;1050 Wien, 05. Bezirk, Margareten, Anzengrubergasse;€ 579.000;76 m²;3 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/besser-gehts-nicht-3-zimmer-balkon-richtung-innenhof-stilvoll-saniert-zwei-baeder-1072247374/;Besser geht´s nicht: 3-Zimmer + Balkon Richtung Innenhof + stilvoll saniert + zwei Bäder!;1050 Wien, 05. Bezirk, Margareten, Anzengrubergasse;€ 599.000;84 m²;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/worauf-warten-stilvoll-sanierte-2-zimmer-wohnung-in-top-lage-koffer-packen-und-einziehen-1214686350/;Worauf warten? Stilvoll sanierte 2-Zimmer Wohnung in Top-Lage! Koffer packen und einziehen!;1050 Wien, 05. Bezirk, Margareten, Anzengrubergasse;€ 385.000;55 m²
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/welcome-home-perfekt-aufgeteilte-3-zimmer-wohnung-in-top-lage-mit-balkon-und-zwei-baeder-1491551951/;Welcome Home! Perfekt aufgeteilte 3-Zimmer Wohnung in Top-Lage mit Balkon und zwei Bäder!;1050 Wien, 05. Bezirk, Margareten, Anzengrubergasse;€ 539.000;71 m²;3 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/worauf-warten-2-zimmer-stilvoll-sanierter-altbau-perfekte-raumaufteilung-ideale-infrastruktur-2100433638/;Worauf warten? 2-Zimmer + stilvoll sanierter Altbau + perfekte Raumaufteilung + ideale Infrastruktur!;1050 Wien, 05. Bezirk, Margareten, Anzengrubergasse;€ 299.000;48 m²;2 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/hier-laesst-sichs-leben-3-zimmer-stilvoll-saniert-ideale-lage-jede-menge-abstellflaeche-1997552721/;Hier lässt sich´s leben: 3-Zimmer + stilvoll saniert + ideale Lage + jede Menge Abstellfläche!;1050 Wien, 05. Bezirk, Margareten, Anzengrubergasse;€ 529.000;77 m²;3 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/schnell-sein-stilvoll-sanierte-altbauwohnung-2-zimmer-perfekte-raumaufteilung-top-lage-1901130419/;Schnell sein: Stilvoll sanierte Altbauwohnung + 2-Zimmer + perfekte Raumaufteilung + Top-Lage!;1050 Wien, 05. Bezirk, Margareten, Anzengrubergasse;€ 309.000;51 m²;2 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1120-meidling/videorundgang-i-ruhige-zentral-gelegene-1-zimmer-wohnung-im-12-bezirks-i-perfekte-verkehrsanbindung-vielfaeltige-infrastruktur-direkt-vor-der-haustuer-1490679935/;VIDEORUNDGANG I RUHIGE & ZENTRAL GELEGENE 1-Zimmer-Wohnung im 12. Bezirks I Perfekte Verkehrsanbindung & vielfältige Infrastruktur direkt vor der Haustür!;1120 Wien, 12. Bezirk, Meidling;€ 157.000;33 m²;1 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/sonnendurchflutete-3-zimmerwohnung-mit-loggia-mischek-tower-765937144/;SONNENDURCHFLUTETE 3-ZIMMERWOHNUNG MIT LOGGIA | MISCHEK TOWER;1220 Wien, 22. Bezirk, Donaustadt;€ 869.000;90 m²;3 Zimmer;Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1160-ottakring/hochwertig-sanierte-altbauwohnung-in-generalsaniertem-jahrhundertwendealtbau-802680807/;Hochwertig sanierte Altbauwohnung in generalsaniertem Jahrhundertwendealtbau;1160 Wien, 16. Bezirk, Ottakring;€ 139.000;19 m²;1 Zimmer
